nucleus_id,cz,cy,cx,vol_env,r_eq,gap,gap_int,thick,void_big,void_off,offset,syp_io,s_um,s_norm,score,merged,is_solid,is_clumped,mitotic,crescent,post,cls,row,zone,r_um,off_axis_cut_um
746,6.823943724283928,259.5868635844797,135.19224165376488,53.021620134,2.3305305209218785,0.4275538645312569,0.1315524531847774,0.6483499497642785,0.980125735145001,0.2478513958461245,0.0668410401723711,0.8787747107026589,-74.29114641103392,0.1041317426751447,0.2029034678457308,False,False,False,False,False,False,pachytene,6,off_axis,76.39166092911752,18.68
747,6.714632161458376,259.11861701660195,129.9616304931642,28.824920064,1.9020700217274955,0.56982421875,0.1596184419713832,0.5285660234581915,0.992459943449576,0.0652053514277425,0.0337556040414953,1.0738061966226176,-71.22269241505877,0.1088394014029657,0.3019839242164393,False,False,False,False,False,False,pachytene,6,off_axis,74.55862590567442,18.68
150,2.52950680752505,253.87429520931684,137.9151828936231,41.522616378,2.1481537761813816,0.4329133947234619,0.0713294476824868,0.6667662881052002,0.9488297384121156,0.4237145794792152,0.1208555118558265,0.9145028967711192,-70.76365955595332,0.1152645165460937,0.106978185542627,False,False,False,False,False,False,pachytene,7,off_axis,71.86560836879076,18.68
481,4.643681840920447,252.97572165082752,140.45138236118052,23.44605111,1.775525985251601,0.4706353176588294,0.0902682255845942,0.6271026271026271,0.9231074118113356,0.2353090980718947,0.0620699026507861,1.155242472497443,-71.28299471679527,0.1168251564383862,0.1439449010150958,False,False,False,False,False,False,pachytene,7,off_axis,71.96672434888167,18.68
320,3.494394827680544,255.90769001698496,130.79257664785573,42.812794278,2.170176159566999,0.4732343433236535,0.1204025617566331,0.6601830663615561,0.9959916014506586,0.125912520441248,0.0565762261572775,1.0571746212571256,-68.88345176364636,0.1169275711055579,0.1823775372188862,False,False,False,False,False,False,pachytene,7,off_axis,71.64545997093434,18.68
698,6.907535301103615,252.26401941230355,138.12175059165023,53.326571274,2.3349899581603646,0.4398891479347204,0.1377395544118642,0.649650514411372,0.9350672971989814,0.3683412291337159,0.1065234748467588,0.914158895387544,-69.48343841979538,0.1210320318965658,0.2120210041496938,False,False,False,False,False,False,pachytene,7,off_axis,70.43495622625491,18.68
873,7.062964436311496,254.65337504972436,131.183017105579,29.484083682,1.9164596298150531,0.4304240591932532,0.11156614544552,0.6386366811007124,0.9743682310469314,0.2323526142695889,0.0946986689626888,0.918146703734,-68.00320468340854,0.1227858461585172,0.1746942334305507,False,False,False,False,False,False,pachytene,7,off_axis,70.53442662300617,18.68
149,1.9656842500469909,252.48283752581705,134.19904944621487,37.487878218,2.0761915398956208,0.4863900882297728,0.0743205142663809,0.6701998050682261,0.994175161223216,0.0866931184774353,0.0407638654233563,0.8912278256899329,-67.67266274379995,0.1240494558586046,0.1108930705505281,False,False,False,False,False,False,pachytene,7,off_axis,69.32056616529863,18.68
604,6.075426647279485,253.0106141578032,128.5668776000593,30.652281126,1.9414433839251632,0.496977117930665,0.0691120237926639,0.6543435265479994,0.9840319361277444,0.1144618368539311,0.0521231863932998,1.1066761938956071,-65.25655319694557,0.1312497318024602,0.1056203981374517,False,False,False,False,False,False,pachytene,8,off_axis,68.29374131575955,18.68
697,6.860639245013694,252.45496064369385,134.11500008012908,52.69555699199999,2.325743397313873,0.4793002136752137,0.1664053591790193,0.5959647772933231,0.9868509777478084,0.1792936045695609,0.0581204800807699,0.9283999693155588,-67.6058449189901,0.1353070807328553,0.279220124274421,False,False,False,False,False,False,pachytene,8,off_axis,69.2679685700686,18.68
147,1.5720741492207524,248.3315204555941,136.5727622429239,25.435270854,1.8243825899678376,0.4561468228350087,0.0826073428749222,0.6120061047990504,0.982608695652174,0.1976478528248622,0.0635196992635933,0.91958697030727,-65.3105147320769,0.1358425309855713,0.134977971995959,False,False,False,False,False,False,pachytene,8,off_axis,66.20844150360101,18.68
