image_id,sex,treat,stage,PC_dm_raw
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,male,HS,late,1.596
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,male,HS,early,1.553
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,male,HS,mid,1.365
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,male,HS,late,
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,male,HS,early,1.996
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,male,HS,mid,2.118
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,male,HS,late,1.529
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,herm,noHS,early,1.202
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,herm,noHS,mid,1.137
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,herm,noHS,late,1.123
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,male,noHS,early,1.695
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,male,noHS,mid,1.464
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,male,noHS,late,1.252
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,male,noHS,early,1.353
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,male,noHS,mid,1.155
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,male,noHS,late,1.131
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,male,noHS,early,1.464
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,male,noHS,mid,1.221
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,male,noHS,late,1.162
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,male,noHS,early,1.163
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,male,noHS,mid,1.276
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,male,noHS,late,
