GonadID,Genotype,Sex,treatment,ntX,RAD51
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5553820154237858,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6166426191237195,24
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5316208424717636,26
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4899276739762101,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6067489865536873,19
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4795642362145936,24
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5389786551369106,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6110664421117482,25
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5863196634776708,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5712315749429885,23
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5021351817701053,22
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.536413555572175,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5021312352774634,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4848226334525388,24
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5389075458000349,25
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5782180004758467,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4925262619700391,19
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4666946033034592,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4738456123535174,21
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4524258123584884,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5515875164715288,15
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5254994338257304,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.505960207846234,24
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5015263640627398,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5622762446763403,27
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.5852387192205875,23
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4690074722898164,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4900730085582835,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6354128358933532,23
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4509389477004789,21
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7559187934055993,19
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7119156823973369,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7388418149782794,26
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7511097774857494,22
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6983182026304829,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7996093705783147,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7238424334208517,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7945584725124092,27
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7815103026774283,24
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7566357308942904,23
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.8358656107842788,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.8213748109060875,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7943596067176112,23
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.8062499858645216,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.8247052761180993,15
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.8323057025403685,19
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6429912535754347,19
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6691428512196166,27
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.656814787308621,24
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6933581157290037,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6696830560060062,22
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6875307876683772,31
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6594845972743442,22
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7162189715630299,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.72821810177795,21
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6763007627170491,24
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.7547465427367919,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.6621040515137212,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.8626815342082657,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.8563356865751072,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.8722517726783827,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.8884515454676575,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.8615265717097812,21
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.869586157265591,19
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.9272274883387451,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.9277165591558646,28
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.9420026146503201,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.9163305465850273,21
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.9444374208997182,27
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.9601656092511343,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.9959780505107995,21
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.9849881426369131,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.9730172727661891,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,1.0,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,1.0,25
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.03164538511352493,4
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.02724955518500638,7
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.1133787593162745,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.1131138536337856,11
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.09687143947270843,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.1197369803519511,10
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.06777775815099345,8
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.1568806461988354,9
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.267204883374733,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.2353943240171103,10
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.2047856039746029,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.1977787793095296,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.1920967637885989,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.177349194025067,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.2517930249353706,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.2738735277741496,21
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.2804309235990198,12
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3256358748058098,3
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3465421666642683,17
